date,cancel_events,gatherings_restrictions,infected,information_campaigns,internal_movement_restrictions,international_movement_restrictions,school_closing,stay_home_restrictions,stringency_index,susceptible,testing_policy,transport_closing,workplace_closing,confirmed,fatal,recovered,derived_reproduction_rate,kap_mortality_rate,rho_transmission_rate,sig_recovery_rate,t/k_mortality_period,t/r_infection_period,t/s_recovery_period,total_tests,new_tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,facial_coverings,vaccination_policy,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,current_intensive_care_patients,new_confirmed,new_fatal,new_recovered,new_susceptible,total_removed
2020-02-15,0.0,0.0,15,0.0,0.0,3.0,0.0,0.0,8.33,326687486.0,1.0,0.0,0.0,15,0,0,36.11553278388316,0.00015263767235631476,0.008664856466503184,8.728282164149063e-05,272.97760784376163,4.80869669656303,477.3753401077041,139.5,139.5,0.107,9.3,0.0,0.0,0.0,0.0,0.0,-12854.276138946723,-3.0499700483832677,-2.363826742953584,6.0,2.0,15.0,3.0,2.0,-1.0,0.0,0.0,0.95679,-7.54321,10.753086,0.0,0.0,-6.882716,55.902618,0.0,0.0,0.0,0.0,0,0,0,0.0,0
2020-02-16,0.0,0.0,15,0.0,0.0,3.0,0.0,0.0,8.33,326687486.0,1.0,0.0,0.0,15,0,0,35.48034822381855,0.000157619804929575,0.008689230471669206,8.728282164149063e-05,264.34918305655475,4.795207907365182,477.3753401077041,279.0,139.5,0.107,9.3,0.0,0.0,0.0,0.0,0.0,-13024.399,-3.03,-2.36,7.0,1.0,16.0,2.0,0.0,-1.0,0.0,0.0,3.919753,-3.561728,12.549383,0.0,0.0,-5.919753,49.045643,0.0,0.0,0.0,0.0,0,0,0,0.0,0
2020-02-17,0.0,0.0,25,0.0,0.0,3.0,0.0,0.0,8.33,326687476.0,1.0,0.0,0.0,25,0,0,34.87159357933488,0.00016245205367443978,0.008708653074602994,8.728282164149063e-05,256.4859336907386,4.7845133236710256,477.3753401077041,511.5,232.50000000000003,0.107,9.3,0.0,0.0,0.0,0.0,0.0,-13172.55038483168,-3.0058072484345093,-2.2942360763920826,6.0,0.0,28.0,-9.0,-24.0,5.0,0.0,0.0,6.197531,1.401235,13.111111,0.056444,0.0,-0.481481,62.382674,0.0,0.0,0.0,0.0,10,0,0,-10.0,0
2020-02-18,0.0,0.0,25,0.0,0.0,3.0,0.0,0.0,8.33,326687476.0,1.0,0.0,0.0,25,0,0,34.286686968761764,0.0001671344185909091,0.00872312427530455,8.728282164149063e-05,249.3003357294895,4.776576069726114,477.3753401077041,744.0,232.50000000000003,0.107,9.3,0.0,0.0,0.0,0.0,0.0,-13298.730293441768,-2.977391793686797,-2.1665349721298326,0.0,-1.0,6.0,1.0,0.0,1.0,0.0,0.0,0.592593,-5.197531,7.45679,0.0,0.0,-5.759259,62.698408,0.0,0.0,0.0,0.0,0,0,0,0.0,0
2020-02-19,0.0,0.0,25,0.0,0.0,3.0,0.0,0.0,8.33,326687476.0,1.0,0.0,0.0,25,0,0,33.723319064577936,0.00017166689967898293,0.00873264407377387,8.728282164149063e-05,242.7181171477048,4.771368936448608,477.3753401077041,976.5,232.50000000000003,0.107,9.3,0.0,0.0,0.0,0.0,0.0,-13402.938725830261,-2.944753635756862,-1.9768966872132496,2.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,-2.753086,-6.777778,4.91358,0.0,0.0,-7.364198,71.309848,0.0,0.0,0.0,0.0,0,0,0,0.0,0
2020-02-20,0.0,0.0,27,0.0,0.0,3.0,0.0,0.0,8.33,326687474.0,1.0,0.0,0.0,27,0,0,33.179415717450425,0.00017604949693866134,0.008737212470010957,8.728282164149063e-05,236.6758632726116,4.768874147181454,477.3753401077041,1227.6,251.10000000000002,0.107,9.3,0.0,0.0,0.0,0.0,0.0,-13486.133667850869,-2.908260652762768,-1.7345258799891987,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,-8.660494,-16.166667,0.475309,0.653143,0.0,-12.425926,74.302469,0.0,0.0,0.0,0.0,2,0,0,-2.0,0
2020-02-21,0.0,0.0,30,0.0,0.0,3.0,0.0,0.0,8.33,326687471.0,1.0,0.0,0.0,30,0,0,32.653106418040544,0.00018028221036994426,0.008736829464015808,8.728282164149063e-05,231.1191247387386,4.769083205558523,477.3753401077041,1506.6,279.0,0.107,9.3,0.0,0.0,0.0,0.0,0.0,-13554.06303462584,-2.8701201134128946,-1.4946505005388742,2.0,-2.0,4.0,1.0,0.0,0.0,0.0,0.0,-1.580247,-8.160494,10.530864,0.056444,37.253333,-6.981481,66.769518,0.0,0.0,0.0,0.0,3,0,0,-3.0,0
2020-02-22,0.0,0.0,30,0.0,0.0,3.0,0.0,0.0,8.33,326687471.0,1.0,0.0,0.0,30,0,0,32.14269754931899,0.00018436503997283166,0.008731495055788421,8.728282164149063e-05,226.00090924400166,4.7719968230462815,477.3753401077041,1785.6,279.0,0.107,9.3,0.0,0.0,0.0,0.0,0.0,-13607.684812008885,-2.8306998958253056,-1.2664752072091414,7.0,3.0,23.0,5.0,4.0,-1.0,0.0,0.0,3.981481,-4.67284,16.919753,0.0,30.48,-2.765432,61.581726,0.0,0.0,0.0,0.0,0,0,0,0.0,0
2020-02-23,0.0,0.0,30,0.0,0.0,3.0,0.0,0.0,8.33,326687471.0,1.0,0.0,0.0,30,0,0,31.646649590601342,0.00018829798574732364,0.008721209245328806,8.728282164149063e-05,221.28046936507866,4.777624925004967,477.3753401077041,2064.6,279.0,0.107,9.3,0.0,0.0,0.0,0.0,0.0,-13646.999,-2.79,-1.05,7.0,3.0,23.0,5.0,2.0,-1.0,0.0,0.0,5.481481,-1.87037,14.388889,1.298222,0.0,-1.191358,62.775421,0.0,0.0,0.0,0.0,0,0,0,0.0,0
2020-02-24,0.0,0.0,43,0.0,0.0,3.0,0.0,0.0,8.33,326687458.0,1.0,0.0,0.0,43,0,0,31.163557597349655,0.00019208104769342016,0.008705972032636955,8.728282164149063e-05,216.92232090055379,4.785986735365865,477.3753401077041,2464.5,399.90000000000003,0.107,9.3,0.0,0.0,0.0,0.0,0.0,-13672.005598599188,-2.748020425936978,-0.8452248789114504,2.0,1.0,9.0,1.0,3.0,0.0,0.0,0.0,4.858025,-0.845679,11.895062,7.309556,0.0,-1.419753,64.383201,0.0,0.0,0.0,0.0,13,0,0,-13.0,0
